body,fake,source
,,
"  Bangladesh: 5 killed as four train coaches derail, hundreds injured   <a href=""https://www.indiatoday.in/world/story/bangladesh-5-killed-as-four-train-coaches-derail-hundreds-injured-1554855-2019-06-24""> <img align=""left"" hspace=""2"" height=""180"" width=""305"" alt="""" border=""0"" src=""https://akm-img-a-in.tosshub.com/indiatoday/images/story/201906/Bd_Train-3-647x363.jpeg?DlRnfDOeuoqeLRclR4x5UNp0LUEa4Idq""> </a>  Bangladesh: 5 killed as four train coaches derail, hundreds injured",0,India Today
,,
" 1 dead, 7 hurt as Yemeni rebels strike Saudi airport ahead of Pompeo visit   <a href=""https://www.indiatoday.in/world/story/dead-hurt-yemeni-rebels-saudi-airport-pompeo-visit-1554849-2019-06-24""> <img align=""left"" hspace=""2"" height=""180"" width=""305"" alt="""" border=""0"" src=""https://akm-img-a-in.tosshub.com/indiatoday/images/story/201906/Abha-647x363.png?Fo378jh3ZMXYD4MOOuOJh5dpq2wbQeET""> </a> 1 dead, 7 hurt as Yemeni rebels strike Saudi airport ahead of Pompeo visit",0,India Today
,,
" Donald Trump prioritises Saudi arm sales over probe into Jamal Khashoggi murder   <a href=""https://www.indiatoday.in/world/story/donald-trump-prioritises-saudi-arm-sales-over-probe-into-jamal-khashoggi-murder-1554827-2019-06-24""> <img align=""left"" hspace=""2"" height=""180"" width=""305"" alt="""" border=""0"" src=""https://akm-img-a-in.tosshub.com/indiatoday/images/story/201906/donald_trump-647x363.jpeg?.TBeMRwbBcMU9KF1xMR4LoOh1OkXiCVJ""> </a> Donald Trump prioritises Saudi arm sales over probe into Jamal Khashoggi murder",0,India Today
,,
" No beds, soap for migrant kids, man says Somali pirates treated him better: Horror of US detention centres   <a href=""https://www.indiatoday.in/world/story/no-beds-soap-migrant-children-us-donald-trump-detention-centres-1554741-2019-06-23""> <img align=""left"" hspace=""2"" height=""180"" width=""305"" alt="""" border=""0"" src=""https://akm-img-a-in.tosshub.com/indiatoday/images/story/201906/asylum-lead-RTR3UJAE-647x363.jpeg?nq4vEwUMKpnU47owIY5kJgRy_Vzmy3Aj""> </a> No beds, soap for migrant kids, man says Somali pirates treated him better: Horror of US detention centres",0,India Today
,,
" Donald Trump denies knowing New York woman accusing him of sexual assault   <a href=""https://www.indiatoday.in/world/story/donald-trump-denies-knowing-new-york-woman-accusing-him-of-sexual-assault-1554691-2019-06-23""> <img align=""left"" hspace=""2"" height=""180"" width=""305"" alt="""" border=""0"" src=""https://akm-img-a-in.tosshub.com/indiatoday/images/story/201906/trump2_story_010317105753-647x363.jpeg?00r5aJNPxjwIfN4kZ_hizgEw7b2E4IV3""> </a> Donald Trump denies knowing New York woman accusing him of sexual assault",0,India Today
,,
" Thai cave rescue: Wild Boars football team marks ordeal anniversary with marathon run   <a href=""https://www.indiatoday.in/world/story/thailand-cave-rescue-one-year-anniversary-1554683-2019-06-23""> <img align=""left"" hspace=""2"" height=""180"" width=""305"" alt="""" border=""0"" src=""https://akm-img-a-in.tosshub.com/indiatoday/images/story/201906/thai_cave_football_team-647x363.jpeg?2fAgwFFoT0Oe_A7fxegwx5jzY_Vtudm1""> </a> Thai cave rescue: Wild Boars football team marks ordeal anniversary with marathon run",0,India Today
,,
" US warns Iran: Do not confuse prudence with weakness   <a href=""https://www.indiatoday.in/world/story/us-warns-iran-do-not-confuse-prudence-with-weakness-1554657-2019-06-23""> <img align=""left"" hspace=""2"" height=""180"" width=""305"" alt="""" border=""0"" src=""https://akm-img-a-in.tosshub.com/indiatoday/images/story/201906/bolton_netanyahu-647x363.jpeg?ZV1CgF4kMBql76ABh2Q.timPE_AiS6Os""> </a> US warns Iran: Do not confuse prudence with weakness",0,India Today
,,
" US struck Iranian military computers this week: Reports   <a href=""https://www.indiatoday.in/world/story/us-struck-iranian-military-computers-1554563-2019-06-23""> <img align=""left"" hspace=""2"" height=""180"" width=""305"" alt="""" border=""0"" src=""https://akm-img-a-in.tosshub.com/indiatoday/images/story/201906/Capture_109-647x363.png?VIXZVDzNdhPbQqZhUjOOBTajqF8kt4qM""> </a> US struck Iranian military computers this week: Reports",0,India Today
,,
" Iran lawmakers chant death to America in parliament as tensions with US remain high   <a href=""https://www.indiatoday.in/world/story/iran-chant-death-to-america-us-terrorist-tensions-1554529-2019-06-23""> <img align=""left"" hspace=""2"" height=""180"" width=""305"" alt="""" border=""0"" src=""https://akm-img-a-in.tosshub.com/indiatoday/images/story/201906/Capture_108-647x363.png?8A2MZ6.t62AvhKv53v_Zf4XDnBhkyOFV""> </a> Iran lawmakers chant death to America in parliament as tensions with US remain high",0,India Today
,,
" North Korea leader receives excellent letter from Donald Trump   <a href=""https://www.indiatoday.in/world/story/north-korea-leader-receives-excellent-letter-donald-trump-1554470-2019-06-23""> <img align=""left"" hspace=""2"" height=""180"" width=""305"" alt="""" border=""0"" src=""https://akm-img-a-in.tosshub.com/indiatoday/images/story/201906/Capture_104-647x363.png?SG05KB.lPsPHXI3lsppfKeOyH8Fp9liF""> </a> North Korea leader receives excellent letter from Donald Trump",0,India Today
,,
" Sri Lanka extends emergency for third month after terror attack   <a href=""https://www.indiatoday.in/world/story/sri-lanka-extends-emergency-for-another-month-1554412-2019-06-23""> <img align=""left"" hspace=""2"" height=""180"" width=""305"" alt="""" border=""0"" src=""https://akm-img-a-in.tosshub.com/indiatoday/images/story/201906/SRI_LANKA-647x363.png?aVFw4Gur1PBQvaPBzlB8xi2rDHwbNc9b""> </a> Sri Lanka extends emergency for third month after terror attack",0,India Today
,,
" India's statement on FATF greylisting preposterous, unwarranted: Pakistan   <a href=""https://www.indiatoday.in/world/story/india-statement-on-fatf-gray-listing-preposterous-unwarranted-pakistan-1554239-2019-06-22""> <img align=""left"" hspace=""2"" height=""180"" width=""305"" alt="""" border=""0"" src=""https://akm-img-a-in.tosshub.com/indiatoday/images/story/201906/fatfpakimran-647x363.png?A8MQnaQgKDZEeyTRK9ik2N2p7wyK7WBG""> </a> India's statement on FATF greylisting preposterous, unwarranted: Pakistan",0,India Today
,,
" Donald Trump nominates Mark Esper to be his new defence secretary   <a href=""https://www.indiatoday.in/world/story/donald-trump-nominates-mark-esper-to-be-his-new-defence-secretary-1554040-2019-06-22""> <img align=""left"" hspace=""2"" height=""180"" width=""305"" alt="""" border=""0"" src=""https://akm-img-a-in.tosshub.com/indiatoday/images/story/201906/2019-06-21T205230Z_181019373_R-647x363.png?TJRiaIJi7TitSROrJko.oQ8cfmhp7k3A""> </a> Donald Trump nominates Mark Esper to be his new defence secretary",0,India Today
,,
" Pakistan to remain on FATF grey list for failing to curb terror financing   <a href=""https://www.indiatoday.in/world/story/fatf-pakistan-terror-financing-grey-list-1554023-2019-06-22""> <img align=""left"" hspace=""2"" height=""180"" width=""305"" alt="""" border=""0"" src=""https://akm-img-a-in.tosshub.com/indiatoday/images/story/201906/imran_khan__2__0-647x363.png?5PV6dZewwYlcM99fymoVA.xcSc4.7Ylu""> </a> Pakistan to remain on FATF grey list for failing to curb terror financing",0,India Today
,,
" Trump jammed his hand under my dress, pulled down my tights: Writer accuses US President of sexual assault   <a href=""https://www.indiatoday.in/world/story/writer-accuses-us-president-of-sexual-assault-1553948-2019-06-22""> <img align=""left"" hspace=""2"" height=""180"" width=""305"" alt="""" border=""0"" src=""https://akm-img-a-in.tosshub.com/indiatoday/images/story/201906/trump-647x363.jpeg?7SlU34LTdKTrLSpYy3IEyUhIDZlqm0hZ""> </a> Trump jammed his hand under my dress: Writer accuses US President of sexual assault",0,India Today
,,
" Pakistan likely to remain on anti-terror watchdog list after failure to act against Hafiz Saeed, Masood Azhar   <a href=""https://www.indiatoday.in/world/story/pakistan-likely-to-remain-on-fatf-gray-list-as-us-uk-question-inaction-against-hafiz-saeed-masood-azhar-1553826-2019-06-21""> <img align=""left"" hspace=""2"" height=""180"" width=""305"" alt="""" border=""0"" src=""https://akm-img-a-in.tosshub.com/indiatoday/images/story/201906/RTX2R3Q0-647x363.jpeg?JkX_irq7Itvr62oHvi1qX2ebT7JLmAq7""> </a> Pak likely to remain on anti-terror watch list after failure to act against Hafiz Saeed, Azhar",0,India Today
,,
" Donald Trump confirms US was ready to attack Iran last night   <a href=""https://www.indiatoday.in/world/story/donald-trump-us-attack-iran-tweets-1553706-2019-06-21""> <img align=""left"" hspace=""2"" height=""180"" width=""305"" alt="""" border=""0"" src=""https://akm-img-a-in.tosshub.com/indiatoday/images/story/201906/donald_trump_iran_tweets-647x363.jpeg?We_EPijyZG1ORt77MNtilDPg4EmGbAfh""> </a> Cocked & loaded: Donald Trump confirms US was ready to attack Iran last night",0,India Today
body,fake,source
" Missing Indian man's body found after massive search in Australia   <a href=""https://www.indiatoday.in/world/story/missing-indian-man-s-body-found-after-massive-search-in-australia-1569607-2019-07-15""> <img align=""left"" hspace=""2"" height=""180"" width=""305"" alt="""" border=""0"" src=""https://akm-img-a-in.tosshub.com/indiatoday/images/story/201907/Capture_58-647x363.png?Cw3uiu90HZqNZbXtoz6sapU1TwWy0opC""> </a> Missing Indian man's body found after massive search in Australia",0,India Today
" Nepal appeals to international agencies for help in flood-hit areas, death toll rises to 67   <a href=""https://www.indiatoday.in/world/story/nepal-appeals-to-international-agencies-for-help-in-flood-hit-areas-death-toll-rises-to-67-1569576-2019-07-15""> <img align=""left"" hspace=""2"" height=""180"" width=""305"" alt="""" border=""0"" src=""https://akm-img-a-in.tosshub.com/indiatoday/images/story/201907/nepalflood-647x363.png?zqdP1DEcxsqzqWMf3F9YhTHjoI3XJjWG""> </a> Nepal appeals to international agencies for help in flood-hit areas, death toll rises to 67",0,India Today
" Pakistan anti-corruption court extends former president Asif Zardari's remand by two weeks   <a href=""https://www.indiatoday.in/world/story/pakistan-anti-corruption-court-extends-former-president-asif-zardari-s-remand-by-two-weeks-1569561-2019-07-15""> <img align=""left"" hspace=""2"" height=""180"" width=""305"" alt="""" border=""0"" src=""https://akm-img-a-in.tosshub.com/indiatoday/images/story/201907/Asif_Ali_Zardari_Pak_elections_0-647x363.jpeg?.zJOCLCA8RMiqb_G3fG46fH8nHKNUrUC""> </a> Pakistan anti-corruption court extends former president Asif Zardari's remand by two weeks",0,India Today
" 5,000 pilgrims will be allowed to visit Kartarpur Sahib per day: Pakistan   <a href=""https://www.indiatoday.in/world/story/5-000-pilgrims-will-be-allowed-to-visit-kartarpur-sahib-per-day-pakistan-1569548-2019-07-15""> <img align=""left"" hspace=""2"" height=""180"" width=""305"" alt="""" border=""0"" src=""https://akm-img-a-in.tosshub.com/indiatoday/images/story/201907/PTI_1-647x363.jpeg?RqQm9zA8bi1Mpt.cz.GW.XLxzE.zio5i""> </a> 5,000 pilgrims will be allowed to visit Kartarpur Sahib per day: Pakistan",0,India Today
" Pakistan's anti-terror court grants bail to Hafiz Saeed   <a href=""https://www.indiatoday.in/world/story/pakistan-s-anti-terror-court-grants-bail-to-hafiz-saeed-1569415-2019-07-15""> <img align=""left"" hspace=""2"" height=""180"" width=""305"" alt="""" border=""0"" src=""https://akm-img-a-in.tosshub.com/indiatoday/images/story/201907/hafeezsaeed160219_1-647x363.jpeg?1G55Ncxssfd46bMd5ZApEYbAjJP6qC1J""> </a> Pakistan's anti-terror court grants bail to Hafiz Saeed",0,India Today
" Iran ready to talk if US lifts sanctions, Mike Pompeo skeptical   <a href=""https://www.indiatoday.in/world/story/iran-ready-talk-us-lifts-sanctions-pompeo-skeptical-1569268-2019-07-15""> <img align=""left"" hspace=""2"" height=""180"" width=""305"" alt="""" border=""0"" src=""https://akm-img-a-in.tosshub.com/indiatoday/images/story/201907/hassan_rouhani-647x363.png?7Q5MJDLJK3x7CLNmdujuB0JUMdoDgv8M""> </a> Iran ready to talk if US lifts sanctions, Mike Pompeo skeptical",0,India Today
" Weakened Barry still poses flood, tornado risks   <a href=""https://www.indiatoday.in/world/story/tropical-depression-barry-floods-1569291-2019-07-15""> <img align=""left"" hspace=""2"" height=""180"" width=""305"" alt="""" border=""0"" src=""https://akm-img-a-in.tosshub.com/indiatoday/images/story/201907/cyclone_Barry-647x363.png?Z6zL.KxOn1VgYqc9JDSIP.jQvP9jnALT""> </a> Weakened Barry still poses flood, tornado risks",0,India Today
" Joe Biden aggressively defends Obamacare   <a href=""https://www.indiatoday.in/world/story/joe-biden-obamacare-1569238-2019-07-15""> <img align=""left"" hspace=""2"" height=""180"" width=""305"" alt="""" border=""0"" src=""https://akm-img-a-in.tosshub.com/indiatoday/images/story/201907/Joe_biden_0-647x363.png?_OHkoLAxmFyoBhbyW2ElzYl.wgZk4tcX""> </a> Joe Biden aggressively defends Obamacare",0,India Today
" Sweden: Small plane carrying parachutists crashes, 9 dead   <a href=""https://www.indiatoday.in/world/story/sweden-small-plane-carrying-parachutists-crashes-9-dead-1569229-2019-07-15""> <img align=""left"" hspace=""2"" height=""180"" width=""305"" alt="""" border=""0"" src=""https://akm-img-a-in.tosshub.com/indiatoday/images/story/201907/para-647x363.png?ugoUT6gZT40IsCR_rEAdb4zD5ZSgJKs3""> </a> Sweden: Small plane carrying parachutists crashes, 9 dead",0,India Today
" Polio eradication drive in Pakistan hit by fake markers, new data finds virus across country   <a href=""https://www.indiatoday.in/world/story/polio-eradication-drive-in-pakistan-hit-by-fake-markers-new-data-says-entire-country-at-risk-1569220-2019-07-15""> <img align=""left"" hspace=""2"" height=""180"" width=""305"" alt="""" border=""0"" src=""https://akm-img-a-in.tosshub.com/indiatoday/images/story/201907/RTX6ZNJ7-647x363.jpeg?BdDAkaljcamRvxPuDnjpmVKyHYgl01x4""> </a> Polio eradication drive in Pakistan hit by fake markers, new data finds virus across country",0,India Today
" Churches jump into action with threat of immigration sweeps   <a href=""https://www.indiatoday.in/world/story/churches-jump-action-threat-immigration-sweeps-1569121-2019-07-15""> <img align=""left"" hspace=""2"" height=""180"" width=""305"" alt="""" border=""0"" src=""https://akm-img-a-in.tosshub.com/indiatoday/images/story/201907/1000__7_-647x363.jpeg?1BW15TTJMxwEXlu4JdtID73arLQ.DwQq""> </a> Churches jump into action with threat of immigration sweeps",0,India Today
" Could facilitate release of seized Iranian tanker: UK   <a href=""https://www.indiatoday.in/world/story/could-facilitate-release-of-seized-iranian-tanker-uk-1569137-2019-07-15""> <img align=""left"" hspace=""2"" height=""180"" width=""305"" alt="""" border=""0"" src=""https://akm-img-a-in.tosshub.com/indiatoday/images/story/201907/fsf-647x363.png?JKZUwEgnbuwosn8tbz0VwwyBd7WKBpFz""> </a> Could facilitate release of seized Iranian tanker: UK",0,India Today
" Calls for investigations after power restored in Manhattan   <a href=""https://www.indiatoday.in/world/story/manhattan-blackout-calls-for-investigations-after-power-restored-1569113-2019-07-15""> <img align=""left"" hspace=""2"" height=""180"" width=""305"" alt="""" border=""0"" src=""https://akm-img-a-in.tosshub.com/indiatoday/images/story/201907/1000__3_-647x363.jpeg?iOO7edEp.8goZF0DLKp7mQ7_6qmfdneK""> </a> Calls for investigations after power restored in Manhattan",0,India Today
" Barry’s flood threat lingers as storm slowly sweeps inland   <a href=""https://www.indiatoday.in/world/story/barry-flood-threat-lingers-storm-sweeps-inland-1569094-2019-07-15""> <img align=""left"" hspace=""2"" height=""180"" width=""305"" alt="""" border=""0"" src=""https://akm-img-a-in.tosshub.com/indiatoday/images/story/201907/1000_2-647x363.jpeg?sdoBSeqNzLp8H4mLfexV_j3hHp6GVkCV""> </a> Barry’s flood threat lingers as storm slowly sweeps inland",0,India Today
" Pamplona festival ends with 3 gorings in final bull run   <a href=""https://www.indiatoday.in/world/story/pamplona-festival-1569102-2019-07-15""> <img align=""left"" hspace=""2"" height=""180"" width=""305"" alt="""" border=""0"" src=""https://akm-img-a-in.tosshub.com/indiatoday/images/story/201907/bull-647x363.png?6fXHs28ZGgXF4UtIuF_WloKoKGomWDqN""> </a> Pamplona festival ends with 3 gorings in final bull run",0,India Today
" American Airlines: Boeing plane flight cancellations extended   <a href=""https://www.indiatoday.in/world/story/american-airlines-boeing-plane-flight-cancellations-extended-1569095-2019-07-15""> <img align=""left"" hspace=""2"" height=""180"" width=""305"" alt="""" border=""0"" src=""https://akm-img-a-in.tosshub.com/indiatoday/images/story/201907/boeing_737_grounded-647x363.jpeg?3rM0XzFBxI77.znE5t7tRrgXeHEuCEPn""> </a> American Airlines: Boeing plane flight cancellations extended",0,India Today
" Dozens detained in Moscow as opposition demands to be included in vote   <a href=""https://www.indiatoday.in/world/story/dozens-detained-in-moscow-as-opposition-demands-to-be-included-in-vote-1569058-2019-07-15""> <img align=""left"" hspace=""2"" height=""180"" width=""305"" alt="""" border=""0"" src=""https://akm-img-a-in.tosshub.com/indiatoday/images/story/201907/sa-647x363.png?IJW8U7dMgGiJ7_KEV8aYLH_l9UOcOF4O""> </a> Dozens detained in Moscow as opposition demands to be included in vote",0,India Today
" French police fire tear gas as protests follow Bastille Day parade   <a href=""https://www.indiatoday.in/world/story/french-police-fire-tear-gas-as-protests-follow-bastille-day-parade-1569053-2019-07-15""> <img align=""left"" hspace=""2"" height=""180"" width=""305"" alt="""" border=""0"" src=""https://akm-img-a-in.tosshub.com/indiatoday/images/story/201907/sf_0-647x363.png?WswXz8aYzqEK2QOIFM2Ay8aeDke8Hp3h""> </a> French police fire tear gas as protests follow Bastille Day parade",0,India Today
" Leave the US, Donald Trump tells liberal Congresswomen of colour   <a href=""https://www.indiatoday.in/world/story/leave-us-donald-trump-tweets-liberal-congresswomen-of-color-1569059-2019-07-15""> <img align=""left"" hspace=""2"" height=""180"" width=""305"" alt="""" border=""0"" src=""https://akm-img-a-in.tosshub.com/indiatoday/images/story/201907/congresswomen_of_colour-647x363.jpeg?8Z8aZMD8IzSLAjJqbngX3WH1nqraOrDB""> </a> Leave the US, Donald Trump tells liberal Congresswomen of colour",0,India Today
" Next Dalai Lama must be chosen within China; India should not intervene: Chinese authorities   <a href=""https://www.indiatoday.in/world/story/next-dalai-lama-must-be-chosen-within-china-india-should-not-intervene-chinese-authorities-1568925-2019-07-14""> <img align=""left"" hspace=""2"" height=""180"" width=""305"" alt="""" border=""0"" src=""https://akm-img-a-in.tosshub.com/indiatoday/images/story/201907/dalai-lama-story_647_030617044-647x363.jpeg?1WZN.rmhMpmDL1o1YvgQ1fWILBhnhgyp""> </a> Next Dalai Lama must be chosen within China; India should not intervene: Chinese authorities",0,India Today
" Rain-triggered floods, landslides claim 60 lives in Nepal   <a href=""https://www.indiatoday.in/world/story/rain-triggered-floods-landslides-claim-60-lives-in-nepal-1568919-2019-07-14""> <img align=""left"" hspace=""2"" height=""180"" width=""305"" alt="""" border=""0"" src=""https://akm-img-a-in.tosshub.com/indiatoday/images/story/201907/uttarakhandukhimathlandslide21-647x363.jpeg?O6SfW2EqX81jSr1kjqssJa.5UzhjiyLI""> </a> Rain-triggered floods, landslides claim 60 lives in Nepal",0,India Today
" Gopal Chawla still on ETP Board's panel which controls Sikh body   <a href=""https://www.indiatoday.in/world/story/gopal-chawla-still-on-etp-board-s-panel-which-controls-sikh-body-1568727-2019-07-14""> <img align=""left"" hspace=""2"" height=""180"" width=""305"" alt="""" border=""0"" src=""https://akm-img-a-in.tosshub.com/indiatoday/images/story/201907/chawal-647x363.jpeg?_0lEoaRfbBWpJ6jQCDwLplxaECAxgXCo""> </a> Gopal Chawla still on ETP Board's panel which controls Sikh body",0,India Today
" Kuwait moves to protect its ports amid Gulf tensions   <a href=""https://www.indiatoday.in/world/story/kuwait-ports-gulf-tensions-1568725-2019-07-14""> <img align=""left"" hspace=""2"" height=""180"" width=""305"" alt="""" border=""0"" src=""https://www.indiatoday.in/sites/all/themes/itg/images/itg_image647x363.jpg""> </a> Kuwait moves to protect its ports amid Gulf tensions",0,India Today
" Magnitude 6.6 earthquake strikes west of Australia   <a href=""https://www.indiatoday.in/world/story/magnitude-6-6-earthquake-strikes-west-of-australia-1568720-2019-07-14""> <img align=""left"" hspace=""2"" height=""180"" width=""305"" alt="""" border=""0"" src=""https://akm-img-a-in.tosshub.com/indiatoday/images/story/201907/reuters_2-770x433-647x363.jpeg?T_t_S7f.3IKei6G8OXKrcsCYOhJGa9RW""> </a> Magnitude 6.6 earthquake strikes west of Australia",0,India Today
" France to create space command within air force: President Emmanuel Macron   <a href=""https://www.indiatoday.in/world/story/emmanuel-macron-france-air-force-1568696-2019-07-14""> <img align=""left"" hspace=""2"" height=""180"" width=""305"" alt="""" border=""0"" src=""https://akm-img-a-in.tosshub.com/indiatoday/images/story/201907/RTS22S3R-647x363.jpeg?AmIoOZCxQvddAVMiz1f_XFMgAESBglcx""> </a> France to create space command within air force: President Emmanuel Macron",0,India Today
" Bangladesh's Ershad, opposition leader and former army ruler, dies at 90   <a href=""https://www.indiatoday.in/world/story/bangladesh-s-ershad-opposition-leader-and-former-army-ruler-dies-at-90-1568659-2019-07-14""> <img align=""left"" hspace=""2"" height=""180"" width=""305"" alt="""" border=""0"" src=""https://akm-img-a-in.tosshub.com/indiatoday/images/story/201907/die-647x363.png?.B_Jf6EDHXX_vgNpMx5b4P3DU1.ZPdQb""> </a> Bangladesh's Ershad, opposition leader and former army ruler, dies at 90",0,India Today
" Donald Trump scrapped Iran nuclear deal to spite Barack Obama: New leak claims   <a href=""https://www.indiatoday.in/world/story/donald-trump-scrapped-iran-nuclear-deal-to-spite-barack-obama-new-leak-claims-1568629-2019-07-14""> <img align=""left"" hspace=""2"" height=""180"" width=""305"" alt="""" border=""0"" src=""https://akm-img-a-in.tosshub.com/indiatoday/images/story/201907/trump_obama_iran_nuclear_deal-647x363.jpeg?Yi2x_sEeV8w2GO6.v1dB4Jcz38KZrks5""> </a> Donald Trump scrapped Iran nuclear deal to spite Barack Obama: New leak claims",0,India Today
" Sudan activists call for justice for killed protesters   <a href=""https://www.indiatoday.in/world/story/sudan-activists-call-for-justice-for-killed-protesters-1568625-2019-07-14""> <img align=""left"" hspace=""2"" height=""180"" width=""305"" alt="""" border=""0"" src=""https://akm-img-a-in.tosshub.com/indiatoday/images/story/201907/sudan-647x363.png?a08OMXIdgW3p2XeFgZ5y8aciIHNgrbSZ""> </a> Sudan activists call for justice for killed protesters",0,India Today
" Vatican mystery of girl missing since 1983 deepens as bones are found   <a href=""https://www.indiatoday.in/world/story/vatican-mystery-of-1983-missing-girl-deepens-as-bones-are-found-1568621-2019-07-14""> <img align=""left"" hspace=""2"" height=""180"" width=""305"" alt="""" border=""0"" src=""https://akm-img-a-in.tosshub.com/indiatoday/images/story/201907/cementry-647x363.png?KgO8txPNr535p8TjS1q6kf68gzv_pz82""> </a> Vatican mystery of girl missing since 1983 deepens as bones are found",0,India Today
" Trump says he will not impose uranium quotas   <a href=""https://www.indiatoday.in/world/story/trump-says-he-will-not-impose-uranium-quotas-1568615-2019-07-14""> <img align=""left"" hspace=""2"" height=""180"" width=""305"" alt="""" border=""0"" src=""https://akm-img-a-in.tosshub.com/indiatoday/images/story/201907/trump-reuters-647x363.jpeg?mqk9qBaAFpxuftbzStExasjKeB3qEx16""> </a> Trump says he will not impose uranium quotas",0,India Today
" Clashes erupt as Hong Kong protest targets Chinese traders   <a href=""https://www.indiatoday.in/world/story/clashes-erupt-as-hong-kong-protest-targets-chinese-traders-1568606-2019-07-14""> <img align=""left"" hspace=""2"" height=""180"" width=""305"" alt="""" border=""0"" src=""https://akm-img-a-in.tosshub.com/indiatoday/images/story/201907/hing_kong-647x363.png?JsER87iHhmylab28z.n4CqLfjEPqIYWg""> </a> Clashes erupt as Hong Kong protest targets Chinese traders",0,India Today
" Lights out for city that never sleeps: Massive power outage knocks out New York, Times Square goes dark   <a href=""https://www.indiatoday.in/world/story/lights-out-for-city-that-never-sleeps-massive-power-outage-knockouts-new-york-times-square-goes-dark-1568595-2019-07-14""> <img align=""left"" hspace=""2"" height=""180"" width=""305"" alt="""" border=""0"" src=""https://akm-img-a-in.tosshub.com/indiatoday/images/story/201907/manhattan-647x363.png?yvAdKdy2YT4AWOo9rwmUQv0dSaLF1Y6x""> </a> Lights out for city that never sleeps: Massive power outage knocks out New York, Times Square goes dark",0,India Today
" US: Police shoot dead 69-year-old man who attacked immigrant jail   <a href=""https://www.indiatoday.in/world/story/69-year-old-man-dies-after-attacking-migrant-jail-in-washington-1568580-2019-07-14""> <img align=""left"" hspace=""2"" height=""180"" width=""305"" alt="""" border=""0"" src=""https://akm-img-a-in.tosshub.com/indiatoday/images/story/201907/jail_0-647x363.png?mnRH6NtUPOXF9ksWhEP8s9WE0SKSTBzo""> </a> US: Police shoot dead 69-year-old man who attacked immigrant jail",0,India Today
" Heavy rains trigger flash floods in Nepal, leave 34 dead   <a href=""https://www.indiatoday.in/world/story/heavy-rains-trigger-flash-floods-in-nepal-leave-34-dead-1568570-2019-07-14""> <img align=""left"" hspace=""2"" height=""180"" width=""305"" alt="""" border=""0"" src=""https://akm-img-a-in.tosshub.com/indiatoday/images/story/201907/FLOOD-647x363.png?MGJOAJ7z6wo9YUUlnLB1eaq8txzAuWBP""> </a> Heavy rains trigger flash floods in Nepal, leave 34 dead",0,India Today
" Hurricane Barry makes landfall in Louisiana, weakens to tropical storm   <a href=""https://www.indiatoday.in/world/story/hurricane-barry-makes-landfall-in-louisiana-weakens-to-tropical-storm-1568532-2019-07-14""> <img align=""left"" hspace=""2"" height=""180"" width=""305"" alt="""" border=""0"" src=""https://akm-img-a-in.tosshub.com/indiatoday/images/story/201907/AP19194450847203-647x363.jpeg?XufVvnUu.1Wlamx7L_leSK9nFnoTuCUa""> </a> Hurricane Barry makes landfall in Louisiana, weakens to tropical storm",0,India Today
" Sacrificed my job to get a deal: Theresa May speaks of Brexit frustration in final interview as British PM   <a href=""https://www.indiatoday.in/world/story/theresa-may-brexit-frustration-final-interview-british-pm-1568334-2019-07-13""> <img align=""left"" hspace=""2"" height=""180"" width=""305"" alt="""" border=""0"" src=""https://akm-img-a-in.tosshub.com/indiatoday/images/story/201907/may-647x363.png?rUUsuy71znGTStOU4SprwaK44QD.4t5u""> </a> Sacrificed my job to get a deal: Theresa May speaks of Brexit frustration in final interview as British PM",0,India Today
" New Zealand gun owners turn over their weapons for money   <a href=""https://www.indiatoday.in/world/story/new-zealand-gun-owners-turn-over-their-weapons-for-money-1568330-2019-07-13""> <img align=""left"" hspace=""2"" height=""180"" width=""305"" alt="""" border=""0"" src=""https://akm-img-a-in.tosshub.com/indiatoday/images/story/201907/1000_1-647x363.jpeg?ZysPBX0X9fIoL4KHoxtVVMIfenu2cimc""> </a> New Zealand gun owners turn over their weapons for money",0,India Today
" US: Police mistakes toy gun in 17-year-old girl's hands as real, shoots her dead   <a href=""https://www.indiatoday.in/world/story/us-police-mistakes-toy-gun-17-year-old-girl-s-hands-real-shoots-her-dead-1568292-2019-07-13""> <img align=""left"" hspace=""2"" height=""180"" width=""305"" alt="""" border=""0"" src=""https://akm-img-a-in.tosshub.com/indiatoday/images/story/201907/Photo-647x363.png?0eT4GMOLx.qqppXt.HlY4JYvuS4TwKQb""> </a> US: Police mistakes toy gun in 17-year-old girl's hands as real, shoots her dead",0,India Today
" 26 killed, 56 injured in Somalia hotel siege   <a href=""https://www.indiatoday.in/world/story/26-killed-56-injured-in-somalia-hotel-siege-1568264-2019-07-13""> <img align=""left"" hspace=""2"" height=""180"" width=""305"" alt="""" border=""0"" src=""https://akm-img-a-in.tosshub.com/indiatoday/images/story/201907/2019-07-12T175020Z_1316671697_-647x363.png?bPBxVppjG66EQ5OqfDkh_KnB7X4zGJK8""> </a> 26 killed, 56 injured in Somalia hotel siege",0,India Today
